NomeCliente;EnderecoCompleto;ValorFatura;NumeroPaginas
Cliente Ficticio 2585;AV DR ABRAHAO BRICKMANN,   321, BL B, APT 27 - PARQUE VICENTE LEPORACE I - FRANCA - SP ;11895;4;
Cliente Ficticio 2586;R AURELIO FIGUEIREDO,   183 - CRUZ DAS ARMAS - JOAO PESSOA - PB ;5927;4;
Cliente Ficticio 2587;R C 137,   771, QD 312, LT 04, APT 401 - JARDIM AMERICA - GOIANIA - GO ;5295;4;
Cliente Ficticio 2588;R CANDIDO BRASIL ESTRELA,   161 - JARDIM NAZARETH - SAO JOSE DO RIO PRETO - SP ;8920;4;
Cliente Ficticio 2589;R DEMOCRATA,    40 - FERNAO DIAS - BELO HORIZONTE - MG ;14705;4;
Cliente Ficticio 2591;R DR NOGUCHI,   250, FD , CASA 3 - RAMOS - RIO DE JANEIRO - RJ ;2087;4;
Cliente Ficticio 2592;R SIRIA,    11 - PARQUE ORATORIO - SANTO ANDRE - SP ;12395;4;
Cliente Ficticio 2593;R JULIO BRAGA,   541 - PIRATININGA - NITEROI - RJ ;45147;4;
Cliente Ficticio 2594;AV GENTIL BITTENCOURT,  2535, ED RUTH MARIA, APT 506 - SAO BRAS - BELEM - PA ;10333;4;
Cliente Ficticio 2595;R JOAO BONATTO,     4 - PILARZINHO - CURITIBA - PR ;14558;4;
Cliente Ficticio 2596;R SYLVIO DA ROCHA POLLIS,   201, BL 4, APT 1103 - BARRA DA TIJUCA - RIO DE JANEIRO - RJ ;23098;4;
Cliente Ficticio 2597;R DO IRERE,403,BLCO 55 APRT 202 - BANGU - RIO DE JANEIRO - RJ ;10927;4;
Cliente Ficticio 2598;R MESSIA ASSU,   299, APT 71 - ITARARE - SAO VICENTE - SP ;21787;4;
Cliente Ficticio 2599;R DR ALBERTO SEABRA,   626 - VILA MADALENA - SAO PAULO - SP ;36766;4;
Cliente Ficticio 2600;R AMERICO PONTES,0000,QD 60-A LT 20 - CJ MORADA NOVA - GOIANIA - GO ;27196;4;
Cliente Ficticio 2601;R ANDRE DE ALMEIDA,  1620, BL 10, APT 31 - CIDADE SAO MATEUS - SAO PAULO - SP ;18356;4;
Cliente Ficticio 2602;ROD JOSE CARLOS DAUX,5025,VILAGE DECOR LJ 14 - SACO GRANDE - FLORIANOPOLIS - SC ;17019;4;
Cliente Ficticio 2603;R AGUACERITA,   123 - VILA DOM PEDRO II - SAO PAULO - SP ;10898;4;
Cliente Ficticio 2604;R EPONINA VIANA CREDIDIO,     8 - FAZENDA ARICANDUVA - SAO PAULO - SP ;5944;4;
Cliente Ficticio 2605;R EURICO HUMMIG,   633, TOR 1, APT 1901 - GLEBA FAZENDA PALHANO - LONDRINA - PR ;29485;4;
Cliente Ficticio 2606;R PEDRO DE TOLEDO,    99, / A - PARQUE SAO VICENTE - MAUA - SP ;19421;4;
Cliente Ficticio 2607;EST MARTIM FELIX BERTA,  3300, BL G, APT 326 - RUBEM BERTA - PORTO ALEGRE - RS ;14775;4;
Cliente Ficticio 2608;R DR RUBINO DE OLIVEIRA,    55 - VILA CARVALHO - SOROCABA - SP ;20791;4;
Cliente Ficticio 2609;R MANOEL RIBEIRO,   678 - VILA SAO SEBASTIAO - FRANCA - SP ;13161;4;
Cliente Ficticio 2610;R DELFINOPOLIS,   251, APT 102 - RENASCENCA - BELO HORIZONTE - MG ;41484;4;
Cliente Ficticio 2611;R LELIA M SALLOUM,  2233 - JARDIM TROPICAL - FRANCA - SP ;16896;4;
Cliente Ficticio 2612;R ARTHUR FRANCHINI,1590,JD DERMINIO - VILA REZENDE - FRANCA - SP ;6556;4;
Cliente Ficticio 2613;R MAL DEODORO,   868 - SANTO AMARO - SAO PAULO - SP ;17148;4;
Cliente Ficticio 2614;AV GIOVANNI GRONCHI,  6675, BL 12/PORTO VELHO, APT 142 - VILA ANDRADE - SAO PAULO - SP ;25952;4;
Cliente Ficticio 2615;R BEIJA-FLOR,   216 - JARDIM BRIQUET - ITAPEVI - SP ;12114;4;
Cliente Ficticio 2617;R MARIO DE CAMPOS LIMA,   224 - CJ HAB J M FILHO - SOROCABA - SP ;23424;4;
Cliente Ficticio 2618;AV ITALIA,  1200, BL HOLANDA, APT 21 - JD NACOES - TAUBATE - SP ;29403;4;
Cliente Ficticio 2619;AV NILO SIMAS,   687 - CIDADE NOVA - ITAJAI - SC ;23556;4;
Cliente Ficticio 2620;R FRANZ STEINER,   665 - ALTO IPIRANGA - MOGI DAS CRUZES - SP ;17071;4;
Cliente Ficticio 2621;R CACHOEIRA DE SANTA CRUZ,98 - VILA COSTA MELO - SAO PAULO - SP ;4917;4;
Cliente Ficticio 2622;COLONIA AGRICOLA SAMAMBAIA, CH 78, RUA 03, LT B - VICENTE PIRES - BRASILIA - DF ;31956;4;
Cliente Ficticio 2623;R GIACOMO MARCHIONI,123 - BAETA NEVES - SAO BERNARDO DO CAMPO - SP ;20727;4;
Cliente Ficticio 2624;AV FRANCISCO A SILVA TOFFULI,   181 - JARDIM MARIA AUGUSTA - TAUBATE - SP ;6944;4;
Cliente Ficticio 2625;R GAROPA,   199, TOR 2, APT 45 - VILA CURUCA - SAO PAULO - SP ;14385;4;
Cliente Ficticio 2626;R ARAXA,   452, APT 502 - COLEGIO BATISTA - BELO HORIZONTE - MG ;25623;4;
Cliente Ficticio 2627;R MACAPA,  1160 - JARDIM BRASILANDIA - FRANCA - SP ;8472;4;
Cliente Ficticio 2628;AV FLEMING,   871, BL 04, APT 703 - OURO PRETO - BELO HORIZONTE - MG ;16017;4;
Cliente Ficticio 2629;R ANTONIO LOBOSQUI,  2907 - VILA SCARABUCCI - FRANCA - SP ;20357;4;
Cliente Ficticio 2630;R ARI BARROSO,    68, BL CASA BLANCA, APT 61 - FERRAZOPOLIS - SAO BERNARDO DO CAMPO - SP ;20161;4;
Cliente Ficticio 2631;R PRF CLEMENTINO DE BRITO,   390 - CAPOEIRAS - FLORIANOPOLIS - SC ;32753;4;
Cliente Ficticio 2632;R GOANANA,65 - VILA ESPERANCA - SAO PAULO - SP ;9504;4;
Cliente Ficticio 2633;R OLAVO SOUSA AGUIAR,   145, BL 28, APT 204 - REALENGO - RIO DE JANEIRO - RJ ;45713;4;
Cliente Ficticio 2634;R 88,   679, QD F-36, LT 77, APT 102 - SETOR SUL - GOIANIA - GO ;24917;4;
Cliente Ficticio 2635;AV SAUL NONNENMACHER,   430 - ABERTA DOS MORROS - PORTO ALEGRE - RS ;27998;4;
Cliente Ficticio 2636;R DA. TECLA,311,BL A       APT 61 - JD FLOR MONTANHA - GUARULHOS - SP ;20568;4;
Cliente Ficticio 2637;R ARMANDO MONTEIRO,    80 - VILA UNIAO - FORTALEZA - CE ;16818;4;
Cliente Ficticio 2638;R CORNELIA,275,AP 1 - VILA PIRES - SANTO ANDRE - SP ;9846;4;
Cliente Ficticio 2639;R CDA DE SAO JOAQUIM,   239, APT 74 - BELA VISTA - SAO PAULO - SP ;18746;4;
Cliente Ficticio 2640;R LUCIANO JACOMO DA SILVA,   133, FD CASA 02 - PARQUE ANCHIETA - RIO DE JANEIRO - RJ ;23904;4;
Cliente Ficticio 2641;R AMERICO GIACOMINI,277,AP FRENT - JARDIM PARAVENTI - GUARULHOS - SP ;21288;4;
Cliente Ficticio 2643;R EDUARDO SANTOS PEREIRA,1219 - MONTE CASTELO - CAMPO GRANDE - MS ;23394;4;
Cliente Ficticio 2645;AV DA BELMIRA MARIN,  1751, CASA 2 - PARQUE BRASIL - SAO PAULO - SP ;28518;4;
Cliente Ficticio 2646;R AV ARMIN BUHRER,   693 - UBERABA - CURITIBA - PR ;11496;4;
Cliente Ficticio 2647;R PASSO FUNDO,   272, / F1 - CENTRO - ESTEIO - RS ;23641;4;
Cliente Ficticio 2648;R ENG ALPHEU JOSE RIBAS SAMPAIO,2,N 25 APTO 1202 - JARDIM INFANTE DOM HENRIQUE - BAURU - SP ;26305;4;
Cliente Ficticio 2649;R CEL JOSE DE CASTRO,539 - CENTRO - CRUZEIRO - SP ;15187;4;
Cliente Ficticio 2650;R A-1,    13, QD 3A - PARQUE CUIABA - CUIABA - MT ;20869;4;
Cliente Ficticio 2651;R TUPININQUINS,94 - JARDIM SAO FRANCISCO - SANTA BARBARA D OESTE - SP ;13427;4;
Cliente Ficticio 2653;R ANTONIO PERES PANIAGUA,535,BL I, APT 12, VILA QUITAUNA - SAO PEDRO - OSASCO - SP ;25831;4;
Cliente Ficticio 2654;R RIO GRANDE DO SUL,212 - MARILIA - MARILIA - SP ;9499;4;
Cliente Ficticio 2655;R DA GAVEA,  1264 - VILA MARIA - SAO PAULO - SP ;23610;4;
Cliente Ficticio 2656;AV DOS ESTADOS,   261, TOR 2, APT 106 - AGUA VERDE - CURITIBA - PR ;27295;4;
Cliente Ficticio 2657;R ERNESTO TRUYTS,    78 - PARQUE SANTO ANTONIO - JACAREI - SP ;11742;4;
Cliente Ficticio 2659;R REG FEIJO,    72 - VILA SANTA TEREZINHA - SANTA BARBARA D OESTE - SP ;11490;4;
Cliente Ficticio 2660;AV PRF NILTON LINS,  1100, COND ALPHA GARDEN, CASA 6 - FLORES - MANAUS - AM ;38343;4;
Cliente Ficticio 2663;R TAPAJOS,   522 - CENTRO - MANAUS - AM ;16424;4;
Cliente Ficticio 2664;AL DOS MARACATINS,898 - INDIANOPOLIS - SAO PAULO - SP ;11842;4;
Cliente Ficticio 2665;R QUATORZE DE JULHO,  2477 - SAO MIGUEL - URUGUAIANA - RS ;24956;4;
Cliente Ficticio 2666;R VISC DE SANTA ISABEL,136,BL 2 AP 502 - VILA ISABEL - RIO DE JANEIRO - RJ ;27403;4;
Cliente Ficticio 2667;R DR MARIO SAMPAIO MARTINS,   111, CASA 4 - JARDIM SAO DIMAS - SAO JOSE DOS CAMPOS - SP ;29011;4;
Cliente Ficticio 2668;R LUIZ GIANEZELLA,    84 - VILA NOVA - BARUERI - SP ;2896;4;
Cliente Ficticio 2669;AV DA BELMIRA MARIN,   815 - PARQUE BRASIL - SAO PAULO - SP ;8066;4;
Cliente Ficticio 2670;PC JOAO BRITO DOS SANTOS,    47 - BOQUEIRAO - PRAIA GRANDE - SP ;11990;4;
Cliente Ficticio 2671;AV STA BARBARA,   679 - JARDIM SANTA BARBARA - GUARULHOS - SP ;21057;4;
Cliente Ficticio 2672;AV PRF MAGALHAES PENIDO,   403, APT 101 - AEROPORTO - BELO HORIZONTE - MG ;26463;4;
Cliente Ficticio 2673;R JOAO POLASTRI,   800, CASA -99 - CIDADE JARDIM - RIO CLARO - SP ;7673;4;
Cliente Ficticio 2674;R JAVARI,   411, CASA 3 - TABOAO - DIADEMA - SP ;14547;4;
Cliente Ficticio 2676;R HERMENEGILDO GOIS PARENTE,313 - VILA SAO FRANCISCO - SAO PAULO - SP ;32208;4;
Cliente Ficticio 2677;R JORGE RUDGE,    50 - VILA ISABEL - RIO DE JANEIRO - RJ ;2872;4;
Cliente Ficticio 2678;R ALBANO SANTINELLI,   275 - JARDIM SANTO ONOFRE - JAU - SP ;10553;4;
Cliente Ficticio 2679;R CAPICOBA,    65 - JARDIM PEDRO JOSE NUNES - SAO PAULO - SP ;12684;4;
Cliente Ficticio 2680;R ERNESTO VOLPATO,   748, CASA B - JARDIM PARIS - MARINGA - PR ;20470;4;
Cliente Ficticio 2681;AV EMB ABELARDO BUENO,  3000, BL 3, APT 1303 - BARRA DA TIJUCA - RIO DE JANEIRO - RJ ;33980;4;
Cliente Ficticio 2682;AV MONTEMAGNO,  2298 - VILA FORMOSA - SAO PAULO - SP ;26055;4;
Cliente Ficticio 2683;R MARIA ROQUE MENCONI,   188 - ANAVEC - LIMEIRA - SP ;8601;4;
Cliente Ficticio 2684;R FRANCISCO DE ABREU,47 - VILA PEREIRA BARRETO - SAO PAULO - SP ;11869;4;
Cliente Ficticio 2685;R LARANJA DA BAHIA,   294 - JARDIM FERNANDES - SAO PAULO - SP ;19300;4;
Cliente Ficticio 2686;VICENTE PIRES, RUA 06, CH 276, LT 22 - TAGUATINGA - BRASILIA - DF ;35217;4;
Cliente Ficticio 2687;R DIOGENES MUNIZ BARRETO,   963 - VILA YAMADA - ARARAQUARA - SP ;35388;4;
Cliente Ficticio 2689;AV DURVAL GUIMARAES,   539, ED HERMANO PEDROSA, APT 401 - PONTA VERDE - MACEIO - AL ;39760;4;
Cliente Ficticio 2690;R S BRAS DO SUACUI,   780 - NOVA ESPERANCA - BELO HORIZONTE - MG ;22943;4;
Cliente Ficticio 2691;R MTE PERCILIANO ANDRADE,    26 - PONTO NOVO - ARACAJU - SE ;10160;4;
Cliente Ficticio 2693;SRES,00,QD04 BLPCASA 02 - CRUZEIRO VELHO - BRASILIA - DF ;38297;4;
Cliente Ficticio 2694;R PARAPUA,  1853, FD - ITABERABA - SAO PAULO - SP ;10213;4;
Cliente Ficticio 2696;R ARMANDO SHIBATA,   165, FD - JARDIM RIZZO - SAO PAULO - SP ;5453;4;
Cliente Ficticio 2697;R EVARISTO DA VEIGA,   269, ED MONTREAL, APT 34 - CAMPO GRANDE - SANTOS - SP ;21795;4;
Cliente Ficticio 2698;R JULIO CEZAR JACINTHO DE MELLO SARAIVA,   208 - JARDIM FLORESTAN FERNANDES - RIBEIRAO PRETO - SP ;15196;4;
Cliente Ficticio 2699;R SOUSA CALDAS,   187, CASA - OSWALDO CRUZ - RIO DE JANEIRO - RJ ;26379;4;
Cliente Ficticio 2700;R EDUARDO SANTALUCIA,     1, CASA 4 - PENHA DE FRANCA - SAO PAULO - SP ;9347;4;
Cliente Ficticio 2701;R CAP LEONIDAS MARQUES,  2410, BL B, APT 21 - UBERABA - CURITIBA - PR ;17883;4;
Cliente Ficticio 2702;R RIO PIQUIRI,   786, BL 2, APT 203 - WEISOPOLIS - PINHAIS - PR ;30465;4;
Cliente Ficticio 2703;R FR BONIFACIO HARINK,   218, FD - VILA SAO PAULO - MOGI DAS CRUZES - SP ;10437;4;
Cliente Ficticio 2704;PSG Q-1 (CJ GLEBA I),    90 - MARAMBAIA - BELEM - PA ;10541;4;
Cliente Ficticio 2705;R RAUL POMPEIA,    75, BL 2, COB 1 - FATIMA - NITEROI - RJ ;23360;4;
Cliente Ficticio 2706;R PERUCABA,   117 - CH STO ANTONIO (Z LESTE) - SAO PAULO - SP ;27303;4;
Cliente Ficticio 2707;R PARAGUAI,  1157 - JARDIM BRASILIA - ARACATUBA - SP ;17675;4;
Cliente Ficticio 2708;R PRF ARNALDO JOAO SEMERARO,871,BLOCO 4 APT62 - JARDIM SANTA EMILIA - SAO PAULO - SP ;27541;4;
Cliente Ficticio 2709;AV DR BERNARDINO DE CAMPOS,   350, BL VITORIA, APT 31 - CAMPO GRANDE - SANTOS - SP ;33139;4;
Cliente Ficticio 2710;TV JOAO MADERA,    33 - MANDAQUI - SAO PAULO - SP ;5680;4;
Cliente Ficticio 2711;QNM, QD 42, CJ A-2, CASA 50 - TAGUATINGA NORTE - BRASILIA - DF ;3120;4;
Cliente Ficticio 2712;R FRANCISCO ALVES QUINTA,    91 - JARDIM TABOAO - SAO PAULO - SP ;20487;4;
Cliente Ficticio 2713;R ANDRADINA,   162 - ROCHDALE - OSASCO - SP ;42469;4;
Cliente Ficticio 2714;R BARTIRA,    44 - SAO JOSE - SAO CAETANO DO SUL - SP ;26075;4;
Cliente Ficticio 2715;R ITAIPAVA,    29 - DOS CASA - SAO BERNARDO DO CAMPO - SP ;6086;4;
Cliente Ficticio 2716;R QUINANTE,   266, CASA A - SAO PEDRO (VENDA NOVA) - BELO HORIZONTE - MG ;6413;4;
Cliente Ficticio 2717;R CB JOSE DA SILVA,    80, BL A1, APT 64 - PARQUE NOVO MUNDO - SAO PAULO - SP ;16229;4;
Cliente Ficticio 2718;R AMANHECE,   507, BL A, APT 23 - PARQUE DOM JOAO NERI - SAO PAULO - SP ;63197;4;
Cliente Ficticio 2719;R PRFA FLORIPES SILVEIRA DE SOUZA, QD 1, - 11 - NUCLEO HAB VER EDSON F SILVA - BAURU - SP ;22420;4;
Cliente Ficticio 2720;R MANUEL MANCOS,   206, CASA 2 - JARDIM SANTA CRUZ (SACOMA) - SAO PAULO - SP ;22757;4;
Cliente Ficticio 2721;AV FRANCISCO RODRIGUES FILHO,1461 - VILA MOGILAR - MOGI DAS CRUZES - SP ;20880;4;
Cliente Ficticio 2722;R MARTINHO DE SOUSA,   634, CASA 4 - VILA PARANAGUA - SAO PAULO - SP ;26033;4;
Cliente Ficticio 2723;R CEL ARTHUR FERREIRA DE ABREU,  1361 - CAPAO DA IMBUIA - CURITIBA - PR ;27748;4;
Cliente Ficticio 2725;R GUARARAPES,    25 - VILA BELMIRO - SANTOS - SP ;17468;4;
Cliente Ficticio 2726;R S SEBASTIAO,  1706, CASA 01 - CENTRO - RIBEIRAO PRETO - SP ;21241;4;
Cliente Ficticio 2728;AV ANTONIO CARLOS COSTA,  1135, BL A, APT 74 - BELA VISTA - OSASCO - SP ;4992;4;
Cliente Ficticio 2730;R LUIZ RAZERA,300,AP 73 BL DC - NOVA AMERICA - PIRACICABA - SP ;12006;4;
Cliente Ficticio 2731;R GASPAR DA SILVA,     2, CASA 1 - SIT PAECARA (V CARVALHO) - GUARUJA - SP ;23280;4;
Cliente Ficticio 2732;R DA GLORIA,    65,   A - GLORIA - MANAUS - AM ;25730;4;
Cliente Ficticio 2733;R PASSO FUNDO,   200 - CENTRO - ERECHIM - RS ;18383;4;
Cliente Ficticio 2734;R CASERIO MODOLO,114 - JARDIM SANTA HELENA - JAU - SP ;18986;4;
Cliente Ficticio 2735;R AZUIL LOUREIRO,  1010, CASA A - VILA SANTA ROSA - GUARUJA - SP ;28278;4;
Cliente Ficticio 2736;AV BRASILIANO INDIO DE MORAES,   347 - PASSO DA AREIA - PORTO ALEGRE - RS ;36097;4;
Cliente Ficticio 2737;R 15,   672, QD J-11, LT 04 - SETOR MARISTA - GOIANIA - GO ;5946;4;
Cliente Ficticio 2738;AV ANTONIO PIRANGA,   504, SALA 2 - CENTRO - DIADEMA - SP ;16617;4;
Cliente Ficticio 2739;R VINTE E QUATRO DE MAIO,  1781, LJ 2 - REBOUCAS - CURITIBA - PR ;42054;4;
Cliente Ficticio 2740;R DO ARRAIAL,   209, BL C, APT 61 - VILA MARIANA - SAO PAULO - SP ;12344;4;
Cliente Ficticio 2741;AV BERNARDO DE VASCONCELOS,   861 - CACHOEIRINHA - BELO HORIZONTE - MG ;9972;4;
Cliente Ficticio 2742;R BELA VISTA,   186, CASA 1 - JARDIM TIMBAUHY - BARUERI - SP ;30696;4;
Cliente Ficticio 2743;R ARMANDO BACCELLI,   133 - VILA TERRON - SOROCABA - SP ;18417;4;
Cliente Ficticio 2744;R JOAO JOSE DE QUEIROZ,   855, CASA 2 - VL S FRANCISCO (Z LESTE) - SAO PAULO - SP ;531;4;
Cliente Ficticio 2745;R SEDAN,   238 - UTINGA - SANTO ANDRE - SP ;31752;4;
Cliente Ficticio 2746;AV DO OURO,0,QUADRA [75] LT 10,  CASA 06] - JARDIM NOVO MUNDO - GOIANIA - GO ;12176;4;
Cliente Ficticio 2747;R VSC DE INHAUMA,23,APT 11 - OSVALDO CRUZ - SAO CAETANO DO SUL - SP ;15275;4;
Cliente Ficticio 2748;R OLIVIO BASILIO MARCAL,   300, CASA 14 - SAO PEDRO - OSASCO - SP ;3712;4;
Cliente Ficticio 2749;R MANUEL ANTONIO CARVALHO,   117 - VILA CLARICE - SAO PAULO - SP ;19182;4;
Cliente Ficticio 2750;R PE BENTO PACHECO,2773 - VILA AURORA - INDAIATUBA - SP ;12366;4;
Cliente Ficticio 2751;R FRANCA JUNIOR,    32 - JARDIM ARACY - MAUA - SP ;7674;4;
Cliente Ficticio 2752;R RADIO,    95, / A, CASA 1 - PROSPERIDADE - SAO CAETANO DO SUL - SP ;17022;4;
Cliente Ficticio 2753;R PATRIK DIMITRUK,   312, CASA 1 - HELENA MARIA - OSASCO - SP ;15081;4;
Cliente Ficticio 2754;R RAIZAL,    86, CASA 2 - VILA CONSTANCA - SAO PAULO - SP ;7337;4;
Cliente Ficticio 2755;AV ANTONIO NASCIMENTO COSTA,   483 - VILA OLIVEIRA - MOGI DAS CRUZES - SP ;23280;4;
Cliente Ficticio 2756;R INOCENCIO COELHO MARTINS,   320 - CAPAO DA IMBUIA - CURITIBA - PR ;10312;4;
Cliente Ficticio 2757;R JOAO SPERANDIO,    51 - VALENTINA FIGUEIREDO - RIBEIRAO PRETO - SP ;21228;4;
Cliente Ficticio 2758;R MILTON SANTOS VILA DA JUSTICA,54,CASA 1 - CONCEICAO - OSASCO - SP ;18763;4;
Cliente Ficticio 2761;EST DO TINDIBA,    35, BL 3, APT 405 - PECHINCHA - RIO DE JANEIRO - RJ ;19911;4;
Cliente Ficticio 2762;R DR SOUZA MEIRELLES,    70, FD - JARDIM MONTE ALEGRE - SAO PAULO - SP ;24714;4;
Cliente Ficticio 2763;R PEDRO DE OLIVEIRA,183 - KM 3 - SANTA MARIA - RS ;6317;4;
Cliente Ficticio 2764;HERIBALDO COSTA,100,BL 16 QD S/N - PICI - FORTALEZA - CE ;19948;4;
Cliente Ficticio 2765;R PE SILVESTRE KANDORA,   380, LJ 3 - CIDADE INDUSTRIAL - CURITIBA - PR ;13993;4;
Cliente Ficticio 2766;AV LOURENCO DELLA NINA,    38, CASA C - JUNDIAPEBA - MOGI DAS CRUZES - SP ;3248;4;
Cliente Ficticio 2768;R PE CHAMPAGNAT,30,AP 202 - VILA ISABEL - RIO DE JANEIRO - RJ ;15213;4;
Cliente Ficticio 2769;R DOMINGOS ANTONIO MARRONI,    98 - JARDIM SANTA ANTONIETA - MARILIA - SP ;20571;4;
Cliente Ficticio 2770;R EGIDIO FELINI,   126, BL A, APT 13 - CJ RES E T LEITE - SAO PAULO - SP ;9583;4;
Cliente Ficticio 2771;R PRES FRANKLIN DELANO ROOSEVELT,12,ED VERANEIO,APT 804,BL R - ITARARE - SAO VICENTE - SP ;51695;4;
Cliente Ficticio 2772;R MOROM,1280,22 - CENTRO - PASSO FUNDO - RS ;18599;4;
Cliente Ficticio 2773;R BENTO COELHO DA SILVEIRA,100,APTO 62 - VILA CAMPESTRE - SAO PAULO - SP ;40606;4;
Cliente Ficticio 2774;R BR DE JAGUARA,   504, ED SANTA MARIA, APT 2 - CENTRO - CAMPINAS - SP ;18869;4;
Cliente Ficticio 2775;TERCEIRA AVENIDA BLOCO,1360,CASA 04 - NUCLEO BANDEIRANTE - NUCLEO BANDEIRANTE - DF ;24074;4;
Cliente Ficticio 2776;AV PEDRO AMERICO,  1115, BL 1, APT 23 - VILA HOMERO THON - SANTO ANDRE - SP ;5929;4;
Cliente Ficticio 2777;R CEL NEVES,    55 - MEDIANEIRA - PORTO ALEGRE - RS ;25025;4;
Cliente Ficticio 2778;R TEN ALEXANDRE G DE S LACERDA,  1391 - CHACARA  S SILVESTRE - TAUBATE - SP ;7659;4;
Cliente Ficticio 2779;R STA CRUZ,  1320 - TABOAO - DIADEMA - SP ;8927;4;
Cliente Ficticio 2780;R PLACIDO PARREIRA LIMA,    58, / A - PARQUE DOM JOAO NERI - SAO PAULO - SP ;10925;4;
Cliente Ficticio 2781;R JOAO JOSE DA SILVA,   100, CASA 4 - VILA CARAGUATA - SAO PAULO - SP ;6381;4;
Cliente Ficticio 2782;R CUEVAS,   291 - LAPA - SAO PAULO - SP ;9540;4;
Cliente Ficticio 2783;R BIGUACU,   366, APT 186 - VILA CARRAO - SAO PAULO - SP ;22857;4;
Cliente Ficticio 2784;AV GUERINO BOSCARIOL,   388 - JARDIM ZAIRA - MAUA - SP ;1722;4;
Cliente Ficticio 2786;R B ( CJ PARQUE DAS PALMEIRAS),220,QDRA H - FLORES - MANAUS - AM ;43939;4;
Cliente Ficticio 2787;AV S MIGUEL,   663 - VILA MARIETA - SAO PAULO - SP ;6031;4;
Cliente Ficticio 2788;AV CASTRO ALVES,459 - SANTA IZABEL - CUIABA - MT ;9510;4;
Cliente Ficticio 2789;R LUIZ PARIGOT DE SOUZA,   616, APT 3 - PORTAO - CURITIBA - PR ;25468;4;
Cliente Ficticio 2790;R ITAPIRA,   189, CASA 1 - JARDIM MARIA APARECIDA - GUARULHOS - SP ;6895;4;
Cliente Ficticio 2791;R AMADEU DO AMARAL,   923 - PORTAO - CURITIBA - PR ;41305;4;
Cliente Ficticio 2792;R MASSUO TOYOTOMI,   756 - JARDIM PRIMAVERA - CUIABA - MT ;13496;4;
Cliente Ficticio 2793;R VOLUNTARIOS DA PATRIA,   986 - SANTANA - SAO PAULO - SP ;4596;4;
Cliente Ficticio 2794;R C,    65, TOR 03, APT 1505 - CANJICA - CUIABA - MT ;12370;4;
Cliente Ficticio 2795;AV MIGUEL DE CASTRO,   903 - VILA PEREIRA BARRETO - SAO PAULO - SP ;5088;4;
Cliente Ficticio 2797;AV DR PEIXOTO DE CASTRO,  1297 - CRUZ - LORENA - SP ;10209;4;
Cliente Ficticio 2798;AE, QD 02, LT A/B, TOR D, APT 1501 - GUARA II - BRASILIA - DF ;23473;4;
Cliente Ficticio 2799;R JALES,   182 - JARDIM AMERICA (VILA XAVIER) - ARARAQUARA - SP ;30617;4;
Cliente Ficticio 2800;AV DES FELIPPE IMMESI,   401 - SANTA MONICA - BELO HORIZONTE - MG ;2493;4;
Cliente Ficticio 2801;R BENEDITO LOURENCO,    44 - JARDIM YARA - SAO PAULO - SP ;26305;4;
Cliente Ficticio 2802;R S PAULO,   201 - CENTRO - CAMPO BOM - RS ;22479;4;
Cliente Ficticio 2803;R PAULO MOLENA,    36 - MEDEIROS - JUNDIAI - SP ;1145;4;
Cliente Ficticio 2804;AV DO TABOAO,  3207, BL 3, APT 703 - TABOAO - SAO BERNARDO DO CAMPO - SP ;27506;4;
Cliente Ficticio 2805;R ROMIS FADEL,   236 - PLANALTO VERDE - RIBEIRAO PRETO - SP ;19113;4;
Cliente Ficticio 2807;AV TRES,    30, / BL.22, APT 41 - JARDIM TRANQUILIDADE - GUARULHOS - SP ;23963;4;
Cliente Ficticio 2808;R VEIGA MIRANDA,   354, CASA 1 - SANTO ANTONIO - MANAUS - AM ;20640;4;
Cliente Ficticio 2809;R JOSE CARLOS DE RESENDE,432 - CONJUNTO RESID VISTA VERDE - SAO PAULO - SP ;8675;4;
Cliente Ficticio 2810;R TUIUTI,406,CASA 2 - TATUAPE - SAO PAULO - SP ;6495;4;
Cliente Ficticio 2811;R JORGE JONES,    55 - CENTRO - AMERICANA - SP ;17981;4;
Cliente Ficticio 2812;R QUARENTA,    25, CASA 01 - SANTA MONICA POPULAR - VILA VELHA - ES ;21962;4;
Cliente Ficticio 2813;R BENJAMIN CONSTANT,   264 - SANTA PAULA - SAO CAETANO DO SUL - SP ;21887;4;
Cliente Ficticio 2814;R SERGIPE,   791 - SIQUEIRA CAMPOS - ARACAJU - SE ;16481;4;
Cliente Ficticio 2815;R HERCILIO VERONI,   635 - ANAVEC - LIMEIRA - SP ;13925;4;
Cliente Ficticio 2816;R MARTE,   426, BL 11, APT 131 - JARDIM TUPANCI - BARUERI - SP ;12693;4;
Cliente Ficticio 2817;R CEL IRINEU DE CASTRO,   135, CASA 2 - JARDIM ANALIA FRANCO - SAO PAULO - SP ;7019;4;
Cliente Ficticio 2818;R BR DE JAGUARA,   800, CASA 01 - CENTRO - CAMPINAS - SP ;16027;4;
Cliente Ficticio 2819;R CAP PACHECO E CHAVES,   348, APT 303 - VILA PRUDENTE - SAO PAULO - SP ;6378;4;
Cliente Ficticio 2820;R RAFAEL CORREA SAMPAIO,  1159, APT 73 - SANTA PAULA - SAO CAETANO DO SUL - SP ;1939;4;
Cliente Ficticio 2821;R DA MARIA QUITERIA,    75, CASA 01 - JARDIM VILA GALVAO - GUARULHOS - SP ;9117;4;
